 format: day,hour,forecast,value  location:60_127 Start : 20240701 
 1,1400,+46,23.000000 
 1,1400,+47,23.000000 
 1,1400,+48,23.000000 
 1,1400,+49,23.000000 
 1,1400,+50,22.000000 
 1,1400,+51,22.000000 
 1,1400,+52,22.000000 
 1,1400,+53,22.000000 
 1,1400,+54,22.000000 
 1,1400,+55,22.000000 
 1,1400,+56,22.000000 
 1,1400,+57,23.000000 
 1,1400,+58,24.000000 
 1,1400,+59,25.000000 
 1,1400,+60,26.000000 
 1,1400,+61,26.000000 
 1,1400,+62,26.000000 
 1,1400,+63,25.000000 
 1,1400,+64,25.000000 
 1,1400,+65,25.000000 
 1,1400,+66,25.000000 
 1,1400,+67,25.000000 
 1,1400,+68,24.000000 
 1,1400,+69,24.000000 
 1,1400,+70,24.000000 
 1,1400,+71,23.000000 
 1,1400,+72,24.000000 
 1,1400,+73,23.000000 
 1,1700,+6,25.000000 
 1,1700,+7,25.000000 
 1,1700,+8,24.000000 
 1,1700,+9,24.000000 
 1,1700,+10,24.000000 
 1,1700,+11,23.000000 
 1,1700,+12,23.000000 
 1,1700,+13,23.000000 
 1,1700,+14,24.000000 
 1,1700,+15,24.000000 
 1,1700,+16,25.000000 
 1,1700,+17,25.000000 
 1,1700,+18,25.000000 
 1,1700,+19,26.000000 
 1,1700,+20,26.000000 
 1,1700,+21,26.000000 
 1,1700,+22,26.000000 
 1,1700,+23,25.000000 
 1,1700,+24,24.000000 
 1,1700,+25,24.000000 
 1,1700,+26,23.000000 
 1,1700,+27,23.000000 
 1,1700,+28,23.000000 
 1,1700,+29,22.000000 
 1,1700,+30,23.000000 
 1,1700,+31,24.000000 
 1,1700,+32,24.000000 
 1,1700,+33,25.000000 
 1,1700,+34,25.000000 
 1,1700,+35,26.000000 
 1,1700,+36,26.000000 
 1,1700,+37,26.000000 
 1,1700,+38,26.000000 
 1,1700,+39,26.000000 
 1,1700,+40,25.000000 
 1,1700,+41,25.000000 
 1,1700,+42,24.000000 
 1,1700,+43,23.000000 
 1,1700,+44,23.000000 
 1,1700,+45,23.000000 
 1,1700,+46,23.000000 
 1,1700,+47,22.000000 
 1,1700,+48,22.000000 
 1,1700,+49,22.000000 
 1,1700,+50,22.000000 
 1,1700,+51,22.000000 
 1,1700,+52,22.000000 
 1,1700,+53,22.000000 
 1,1700,+54,23.000000 
 1,1700,+55,24.000000 
 1,1700,+56,25.000000 
 1,1700,+57,26.000000 
 1,1700,+58,26.000000 
 1,1700,+59,26.000000 
 1,1700,+60,25.000000 
 1,1700,+61,25.000000 
 1,1700,+62,25.000000 
 1,1700,+63,25.000000 
 1,1700,+64,25.000000 
 1,1700,+65,24.000000 
 1,1700,+66,24.000000 
 1,1700,+67,24.000000 
 1,1700,+68,23.000000 
 1,1700,+69,24.000000 
 1,1700,+70,23.000000 
 1,2000,+6,24.000000 
 1,2000,+7,24.000000 
 1,2000,+8,24.000000 
 1,2000,+9,23.000000 
 1,2000,+10,23.000000 
 1,2000,+11,24.000000 
 1,2000,+12,24.000000 
 1,2000,+13,24.000000 
 1,2000,+14,25.000000 
 1,2000,+15,25.000000 
 1,2000,+16,26.000000 
 1,2000,+17,26.000000 
 1,2000,+18,26.000000 
 1,2000,+19,26.000000 
 1,2000,+20,26.000000 
 1,2000,+21,25.000000 
 1,2000,+22,25.000000 
 1,2000,+23,25.000000 
 1,2000,+24,24.000000 
 1,2000,+25,24.000000 
 1,2000,+26,24.000000 
 1,2000,+27,24.000000 
 1,2000,+28,24.000000 
 1,2000,+29,25.000000 
 1,2000,+30,26.000000 
 1,2000,+31,26.000000 
 1,2000,+32,26.000000 
 1,2000,+33,27.000000 
 1,2000,+34,26.000000 
 1,2000,+35,26.000000 
 1,2000,+36,26.000000 
 1,2000,+37,26.000000 
 1,2000,+38,25.000000 
 1,2000,+39,24.000000 
 1,2000,+40,24.000000 
 1,2000,+41,23.000000 
 1,2000,+42,23.000000 
 1,2000,+43,23.000000 
 1,2000,+44,23.000000 
 1,2000,+45,23.000000 
 1,2000,+46,23.000000 
 1,2000,+47,23.000000 
 1,2000,+48,23.000000 
 1,2000,+49,23.000000 
 1,2000,+50,23.000000 
 1,2000,+51,23.000000 
 1,2000,+52,24.000000 
 1,2000,+53,25.000000 
 1,2000,+54,27.000000 
 1,2000,+55,27.000000 
 1,2000,+56,28.000000 
 1,2000,+57,27.000000 
 1,2000,+58,27.000000 
 1,2000,+59,26.000000 
 1,2000,+60,26.000000 
 1,2000,+61,25.000000 
 1,2000,+62,25.000000 
 1,2000,+63,24.000000 
 1,2000,+64,24.000000 
 1,2000,+65,24.000000 
 1,2000,+66,23.000000 
 1,2000,+67,23.000000 
 1,2300,+6,23.000000 
 1,2300,+7,23.000000 
 1,2300,+8,24.000000 
 1,2300,+9,24.000000 
 1,2300,+10,24.000000 
 1,2300,+11,25.000000 
 1,2300,+12,25.000000 
 1,2300,+13,26.000000 
 1,2300,+14,26.000000 
 1,2300,+15,26.000000 
 1,2300,+16,26.000000 
 1,2300,+17,26.000000 
 1,2300,+18,25.000000 
 1,2300,+19,25.000000 
 1,2300,+20,25.000000 
 1,2300,+21,24.000000 
 1,2300,+22,24.000000 
 1,2300,+23,24.000000 
 1,2300,+24,24.000000 
 1,2300,+25,24.000000 
 1,2300,+26,25.000000 
 1,2300,+27,26.000000 
 1,2300,+28,26.000000 
 1,2300,+29,26.000000 
 1,2300,+30,27.000000 
 1,2300,+31,26.000000 
 1,2300,+32,26.000000 
 1,2300,+33,26.000000 
 1,2300,+34,26.000000 
 1,2300,+35,25.000000 
 1,2300,+36,24.000000 
 1,2300,+37,24.000000 
 1,2300,+38,23.000000 
 1,2300,+39,23.000000 
 1,2300,+40,23.000000 
 1,2300,+41,23.000000 
 1,2300,+42,23.000000 
 1,2300,+43,23.000000 
 1,2300,+44,23.000000 
 1,2300,+45,23.000000 
 1,2300,+46,23.000000 
 1,2300,+47,23.000000 
 1,2300,+48,23.000000 
 1,2300,+49,24.000000 
 1,2300,+50,25.000000 
 1,2300,+51,27.000000 
 1,2300,+52,27.000000 
 1,2300,+53,28.000000 
 1,2300,+54,27.000000 
 1,2300,+55,27.000000 
 1,2300,+56,26.000000 
 1,2300,+57,26.000000 
 1,2300,+58,25.000000 
 1,2300,+59,25.000000 
 1,2300,+60,24.000000 
 1,2300,+61,24.000000 
 1,2300,+62,24.000000 
 1,2300,+63,23.000000 
 1,2300,+64,23.000000 
 Start : 20240702 
 2,0200,+6,24.000000 
 2,0200,+7,24.000000 
 2,0200,+8,25.000000 
 2,0200,+9,25.000000 
 2,0200,+10,26.000000 
 2,0200,+11,26.000000 
 2,0200,+12,26.000000 
 2,0200,+13,26.000000 
 2,0200,+14,26.000000 
 2,0200,+15,25.000000 
 2,0200,+16,25.000000 
 2,0200,+17,25.000000 
 2,0200,+18,24.000000 
 2,0200,+19,24.000000 
 2,0200,+20,24.000000 
 2,0200,+21,24.000000 
 2,0200,+22,24.000000 
 2,0200,+23,25.000000 
 2,0200,+24,26.000000 
 2,0200,+25,26.000000 
 2,0200,+26,26.000000 
 2,0200,+27,27.000000 
 2,0200,+28,26.000000 
 2,0200,+29,26.000000 
 2,0200,+30,26.000000 
 2,0200,+31,26.000000 
 2,0200,+32,25.000000 
 2,0200,+33,24.000000 
 2,0200,+34,24.000000 
 2,0200,+35,23.000000 
 2,0200,+36,23.000000 
 2,0200,+37,23.000000 
 2,0200,+38,23.000000 
 2,0200,+39,23.000000 
 2,0200,+40,23.000000 
 2,0200,+41,23.000000 
 2,0200,+42,23.000000 
 2,0200,+43,23.000000 
 2,0200,+44,23.000000 
 2,0200,+45,23.000000 
 2,0200,+46,24.000000 
 2,0200,+47,25.000000 
 2,0200,+48,27.000000 
 2,0200,+49,27.000000 
 2,0200,+50,28.000000 
 2,0200,+51,27.000000 
 2,0200,+52,27.000000 
 2,0200,+53,26.000000 
 2,0200,+54,26.000000 
 2,0200,+55,25.000000 
 2,0200,+56,25.000000 
 2,0200,+57,24.000000 
 2,0200,+58,24.000000 
 2,0200,+59,24.000000 
 2,0200,+60,23.000000 
 2,0200,+61,23.000000 
 2,0500,+6,25.000000 
 2,0500,+7,26.000000 
 2,0500,+8,26.000000 
 2,0500,+9,26.000000 
 2,0500,+10,26.000000 
 2,0500,+11,26.000000 
 2,0500,+12,25.000000 
 2,0500,+13,25.000000 
 2,0500,+14,25.000000 
 2,0500,+15,24.000000 
 2,0500,+16,24.000000 
 2,0500,+17,24.000000 
 2,0500,+18,24.000000 
 2,0500,+19,24.000000 
 2,0500,+20,25.000000 
 2,0500,+21,26.000000 
 2,0500,+22,26.000000 
 2,0500,+23,26.000000 
 2,0500,+24,27.000000 
 2,0500,+25,26.000000 
 2,0500,+26,26.000000 
 2,0500,+27,26.000000 
 2,0500,+28,26.000000 
 2,0500,+29,25.000000 
 2,0500,+30,24.000000 
 2,0500,+31,24.000000 
 2,0500,+32,23.000000 
 2,0500,+33,23.000000 
 2,0500,+34,23.000000 
 2,0500,+35,23.000000 
 2,0500,+36,23.000000 
 2,0500,+37,23.000000 
 2,0500,+38,23.000000 
 2,0500,+39,23.000000 
 2,0500,+40,23.000000 
 2,0500,+41,23.000000 
 2,0500,+42,23.000000 
 2,0500,+43,24.000000 
 2,0500,+44,25.000000 
 2,0500,+45,27.000000 
 2,0500,+46,27.000000 
 2,0500,+47,28.000000 
 2,0500,+48,27.000000 
 2,0500,+49,27.000000 
 2,0500,+50,26.000000 
 2,0500,+51,26.000000 
 2,0500,+52,25.000000 
 2,0500,+53,25.000000 
 2,0500,+54,24.000000 
 2,0500,+55,24.000000 
 2,0500,+56,24.000000 
 2,0500,+57,23.000000 
 2,0500,+58,23.000000 
